,CUR_DELETE,WRITE,READ,CU_USER_ID,CR_RESP_ID,USER_RESP_DESC,USER_RESP_ID,UPDATE_SOURCE,CREATED_BY,RECORD_STATUS,LAST_UPDATED_BY,LAST_UPDATE_DATE,CREATION_DATE,DELETE_FLAG
166,Y,Y,Y,72,23,None,545,API,29.0,I,29.0,2019-08-29 10:51:32,2019-08-29 10:51:32,None
167,Y,Y,Y,16,18,None,113,API,2.0,I,2.0,2010-11-28 19:09:55,2010-11-28 19:09:55,None
168,Y,Y,Y,29,7,None,155,API,1.0,I,1.0,2011-03-30 14:33:02,2011-03-30 14:33:02,None
169,Y,Y,Y,29,5,None,156,API,1.0,I,1.0,2011-03-30 14:33:02,2011-03-30 14:33:02,None
170,Y,Y,Y,29,6,None,157,API,1.0,I,1.0,2011-03-30 14:33:02,2011-03-30 14:33:02,None
171,Y,Y,Y,29,2,None,158,API,1.0,I,1.0,2011-03-30 14:33:02,2011-03-30 14:33:02,None
172,Y,Y,Y,29,4,None,159,API,1.0,I,1.0,2011-03-30 14:33:02,2011-03-30 14:33:02,None
173,Y,Y,Y,29,1,None,160,API,1.0,I,1.0,2011-03-30 14:33:02,2011-03-30 14:33:02,None
174,Y,Y,Y,29,10,None,161,API,1.0,I,1.0,2011-03-30 14:33:02,2011-03-30 14:33:02,None
175,Y,Y,Y,29,9,None,162,API,1.0,I,1.0,2011-03-30 14:33:02,2011-03-30 14:33:02,None
176,Y,Y,Y,29,3,None,163,API,1.0,I,1.0,2011-03-30 14:33:02,2011-03-30 14:33:02,None
177,Y,Y,Y,40,18,None,232,API,2.0,U,2.0,2015-10-06 11:13:10,2011-09-29 08:00:52,None
178,Y,Y,Y,40,23,None,237,API,29.0,U,29.0,2012-07-14 16:07:20,2011-09-29 08:00:52,None
179,Y,Y,Y,42,5,None,244,API,2.0,U,5.0,2011-09-29 08:05:25,2011-09-29 08:04:05,None
180,Y,Y,Y,42,13,None,245,API,2.0,I,2.0,2011-09-29 08:04:05,2011-09-29 08:04:05,None
181,Y,Y,Y,42,12,None,246,API,2.0,I,2.0,2011-09-29 08:04:05,2011-09-29 08:04:05,None
182,Y,Y,Y,42,14,None,247,API,2.0,I,2.0,2011-09-29 08:04:05,2011-09-29 08:04:05,None
183,Y,Y,Y,42,2,None,248,API,2.0,I,2.0,2011-09-29 08:04:05,2011-09-29 08:04:05,None
184,Y,Y,Y,42,20,None,249,API,29.0,U,5.0,2016-03-10 11:53:31,2011-09-29 08:04:05,None
185,Y,Y,Y,43,21,None,254,None,5.0,I,5.0,2011-10-18 13:53:46,2011-10-18 13:53:46,None
186,Y,Y,Y,27,21,None,256,None,5.0,I,5.0,2011-10-18 13:58:36,2011-10-18 13:58:36,None
187,N,N,Y,44,21,None,257,None,5.0,U,5.0,2011-11-08 15:42:26,2011-10-18 14:00:26,None
188,Y,Y,Y,27,18,None,148,API,2.0,U,2.0,2016-09-19 14:09:44,2011-03-23 10:50:01,None
189,Y,Y,Y,27,13,None,149,API,2.0,U,2.0,2016-09-19 14:09:44,2011-03-23 10:50:01,None
190,Y,Y,Y,27,12,None,150,API,2.0,U,2.0,2016-09-19 14:09:44,2011-03-23 10:50:01,None
191,Y,Y,Y,27,14,None,151,API,2.0,U,2.0,2016-09-19 14:09:44,2011-03-23 10:50:01,None
192,Y,Y,Y,27,2,None,152,API,2.0,U,2.0,2016-09-19 14:09:44,2011-03-23 10:50:01,None
193,Y,Y,Y,29,20,None,168,None,29.0,I,29.0,2011-06-25 10:48:23,2011-06-25 10:48:23,None
194,Y,Y,Y,34,20,None,169,None,29.0,I,29.0,2011-06-25 10:48:33,2011-06-25 10:48:33,None
195,Y,Y,Y,5,20,None,170,None,29.0,I,29.0,2011-06-25 10:48:55,2011-06-25 10:48:55,None
196,Y,Y,Y,32,20,None,171,None,29.0,I,29.0,2011-06-25 10:49:02,2011-06-25 10:49:02,None
197,Y,Y,Y,20,23,None,175,API,29.0,U,29.0,2012-07-14 16:07:28,2011-06-25 15:38:20,None
198,Y,Y,Y,13,20,None,176,None,29.0,U,5.0,2016-03-10 11:53:10,2011-06-25 15:38:29,None
199,Y,Y,Y,14,23,None,181,None,29.0,U,29.0,2012-07-14 16:09:47,2011-06-25 15:40:19,None
200,Y,Y,Y,17,23,None,182,None,29.0,U,29.0,2012-07-14 16:10:02,2011-06-25 15:41:01,None
201,Y,Y,Y,16,20,None,184,None,29.0,I,29.0,2011-06-25 15:41:23,2011-06-25 15:41:23,None
202,Y,Y,Y,24,4,None,194,None,7.0,I,7.0,2011-09-10 16:53:41,2011-09-10 16:53:41,None
203,Y,Y,Y,51,7,None,315,API,2.0,I,2.0,2013-01-15 09:38:15,2013-01-15 09:38:15,None
204,Y,Y,Y,51,5,None,316,API,2.0,I,2.0,2013-01-15 09:38:15,2013-01-15 09:38:15,None
205,Y,Y,Y,51,13,None,318,API,2.0,I,2.0,2013-01-15 09:38:15,2013-01-15 09:38:15,None
206,Y,Y,Y,51,12,None,319,API,2.0,I,2.0,2013-01-15 09:38:15,2013-01-15 09:38:15,None
207,Y,Y,Y,51,14,None,320,API,2.0,I,2.0,2013-01-15 09:38:15,2013-01-15 09:38:15,None
208,Y,Y,Y,51,2,None,321,API,2.0,I,2.0,2013-01-15 09:38:15,2013-01-15 09:38:15,None
209,Y,Y,Y,51,4,None,322,API,2.0,I,2.0,2013-01-15 09:38:15,2013-01-15 09:38:15,None
210,Y,Y,Y,51,6,None,323,API,7.0,I,7.0,2013-01-15 09:38:15,2013-01-15 09:38:15,None
211,Y,Y,Y,20,4,None,356,API,7.0,U,7.0,2018-05-11 16:11:57,2014-04-16 12:30:58,None
212,Y,Y,Y,25,18,None,137,API,2.0,I,2.0,2011-02-01 11:05:51,2011-02-01 11:05:51,None
213,Y,Y,Y,25,13,None,138,API,2.0,I,2.0,2011-02-01 11:05:51,2011-02-01 11:05:51,None
214,Y,Y,Y,25,12,None,139,API,2.0,I,2.0,2011-02-01 11:05:51,2011-02-01 11:05:51,None
215,Y,Y,Y,25,14,None,140,API,2.0,I,2.0,2011-02-01 11:05:51,2011-02-01 11:05:51,None
216,Y,Y,Y,25,2,None,141,API,2.0,I,2.0,2011-02-01 11:05:51,2011-02-01 11:05:51,None
217,Y,Y,Y,25,23,None,210,None,5.0,U,29.0,2012-07-14 16:08:24,2011-09-20 10:24:40,None
218,Y,Y,Y,8,20,None,250,None,5.0,I,5.0,2011-10-08 21:27:45,2011-10-08 21:27:45,None
